title,location,date,country,year,period
NEW WATERFRONT RELIGIOUS RETREAT OPENS AT SCIENTOLOGY SPIRITUAL HEADQUARTERS IN CLEARWATER,"CLEARWATER, FLORIDA","SATURDAY, APRIL 25, 2026",USA,2026,2017–2026
CARIBBEAN CALLING: PUERTO RICAN PRIDE SHINES WITH HISTORIC OPENING OF FIRST IDEAL ORG IN THE ISLANDS,"SAN JUAN, PUERTO RICO","SUNDAY, FEBRUARY 22, 2026",USA,2026,2017–2026
TEN STORIES OF TRIUMPH FOR SOUTH AFRICA AS NEW SCIENTOLOGY CHURCH OPENS IN EASTERN CAPE,"GQEBERHA, EASTERN CAPE, SOUTH AFRICA","SUNDAY, APRIL 6, 2025",SOUTH AFRICA,2025,2017–2026
"DAZZLING NEW SCIENTOLOGY IDEAL ORG SHINES BRIGHT IN PARIS, THE CITY OF LIGHT","PARIS, FRANCE","SATURDAY, APRIL 6, 2024",FRANCE,2024,2017–2026
BIG NEWS IN THE CITY OF BIG SHOULDERS AS SCIENTOLOGY CHURCH OPENS ON PRINTER’S ROW,"CHICAGO, ILLINOIS","SUNDAY, MARCH 3, 2024",USA,2024,2017–2026
MEXICO CITY’S NIGHT SKY LIGHTS UP WITH OPENING OF SCIENTOLOGY CHURCH FOR DEL VALLE,"MEXICO CITY, MEXICO","FRIDAY, MARCH 1, 2024",MEXICO,2024,2017–2026
NEW SCIENTOLOGY STAR RISES IN TEXAS’SALL-STARCAPITAL OF AUSTIN,"AUSTIN, TEXAS","SATURDAY, FEBRUARY 24, 2024",USA,2024,2017–2026
CHURCH OF SCIENTOLOGY ANSWERS ONGOING EUROPEAN EXPANSION WITH RELIGIOUS RETREAT IN CENTRAL COPENHAGEN,"COPENHAGEN, DENMARK","SUNDAY, NOVEMBER 12, 2023",DENMARK,2023,2017–2026
IGNITING A NEW ERA OF EXPANSION FOR SCIENTOLOGY IN THE UNITED KINGDOM,"EAST GRINSTEAD, ENGLAND","SUNDAY, NOVEMBER 5, 2023",ENGLAND,2023,2017–2026
SCIENTOLOGY IDEAL ORG RISES LIKE A LEGENDARY KING WAVE IN VENTURA’S SURF CITY,"VENTURA, CALIFORNIA","SATURDAY, FEBRUARY 22, 2020",USA,2020,2017–2026
O-H-I-O: NEW CHURCH OF SCIENTOLOGY KICKS OFF IN COLUMBUS,"COLUMBUS, CENTRAL OHIO","SATURDAY, NOVEMBER 9, 2019",USA,2019,2017–2026
A NEW HOME IN THE HEARTLAND: CHURCH OF SCIENTOLOGY CUTS RIBBON ON KANSAS CITY LANDMARK,"KANSAS CITY, MISSOURI","SATURDAY, NOVEMBER 2, 2019",USA,2019,2017–2026
WINDS OF CHANGE: SCIENTOLOGY HEADQUARTERS FOR AFRICA SPRINGS TO LIFE AT MAJESTIC CASTLE KYALAMI,"JOHANNESBURG, SOUTH AFRICA","TUESDAY, JANUARY 1, 2019",SOUTH AFRICA,2019,2017–2026
"MADE IN DETROIT: NEW CHURCH OF SCIENTOLOGY NOW STANDS AT THE CORNERSTONE OF MOTOR CITY, USA","DETROIT, MICHIGAN","SUNDAY, OCTOBER 14, 2018",USA,2018,2017–2026
NEW SCIENTOLOGY MISSION OF COMO GRACES NORTHERN ITALY’S ELEGANT LAKESIDE RETREAT,"COMO, ITALY","SUNDAY, SEPTEMBER 30, 2018",ITALY,2018,2017–2026
FREEDOM REIGNS AS THE CHURCH OF SCIENTOLOGY STUTTGART KICKS INTO GEAR,"STUTTGART, GERMANY","SUNDAY, SEPTEMBER 9, 2018",GERMANY,2018,2017–2026
A STAR BURSTS IN “THE CITY BEAUTIFUL” AS A RIBBON FALLS ON THE NEW CHURCH OF SCIENTOLOGY,"ORLANDO, FLORIDA","SATURDAY, MAY 12, 2018",USA,2018,2017–2026
DOWN UNDER’S “CITY OF LIGHTS” WELCOMES NEWEST CHURCH OF SCIENTOLOGY,"PERTH, WESTERN AUSTRALIA","SATURDAY, MAY 5, 2018",AUSTRALIA,2018,2017–2026
WHERE SPIRITUALITY INTERSECTS WITH HUMAN BRILLIANCE: THE NEW CHURCH OF SCIENTOLOGY OPENS IN SILICON VALLEY,"SILICON VALLEY, CALIFORNIA","SUNDAY, FEBRUARY 18, 2018",USA,2018,2017–2026
"IN THE SPIRIT OF ITS HISTORIC PIONEERS, CITY OF SALT LAKE WELCOMES UTAH’S FIRST IDEAL CHURCH OF SCIENTOLOGY","SALT LAKE CITY, UTAH","SATURDAY, FEBRUARY 17, 2018",USA,2018,2017–2026
SCIENTOLOGY OPENS DOORS TO NEW IDEAL MISSION IN EUROPEAN CITY OF CHARM,"KOŠICE, SLOVAKIA","SATURDAY, JANUARY 13, 2018",SLOVAKIA,2018,2017–2026
FESTIVE SPIRIT: JOHANNESBURG WELCOMES NEW CHURCH OF SCIENTOLOGY IN VIBRANT CELEBRATION,"JOBURG NORTH, SOUTH AFRICA","SATURDAY, DECEMBER 23, 2017",SOUTH AFRICA,2017,2017–2026
A REVOLUTION OF THE SPIRIT IN BRITAIN’S SALT OF THE EARTH: BIRMINGHAM,"BIRMINGHAM, ENGLAND","SATURDAY, OCTOBER 21, 2017",ENGLAND,2017,2017–2026
"DEDICATING THE NEW IDEAL MISSION OF SCIENTOLOGY OF SENIGALLIA, ITALY","SENIGALLIA, ITALY","THURSDAY, SEPTEMBER 28, 2017",ITALY,2017,2017–2026
"CELEBRATING 30 YEARS OF SERVICE TO BATON ROUGE, CHURCH OF SCIENTOLOGY DEDICATES NEW LOUISIANA HOME","BATON ROUGE, LOUISIANA","SATURDAY, JULY 8, 2017",USA,2017,2017–2026
DANISH DELIGHT: A NEW CHURCH OF SCIENTOLOGY IS BORN IN CENTRAL COPENHAGEN,"COPENHAGEN, DENMARK","SATURDAY, MAY 27, 2017",DENMARK,2017,2017–2026
A MAGICAL WELCOME GREETS MIAMI’S NEW CHURCH OF SCIENTOLOGY,"MIAMI, FLORIDA","SATURDAY, APRIL 29, 2017",USA,2017,2017–2026
NORTH AMERICA’S LARGEST CHURCH OF SCIENTOLOGY PREMIERES IN THE SAN FERNANDO VALLEY,"SAN FERNANDO VALLEY, CALIFORNIA","SUNDAY, MARCH 19, 2017",USA,2017,2017–2026
A TREASURED LANDMARK REBORN—SCIENTOLOGY OPENS NEW CHURCH ATOP AUCKLAND,"AUCKLAND, NEW ZEALAND","SATURDAY, JANUARY 21, 2017",NEW ZEALAND,2017,2017–2026
CALIFORNIA DREAMING BECOMES REALITY AS SAN DIEGO OPENS NEW CHURCH OF SCIENTOLOGY,"SAN DIEGO, CALIFORNIA","SATURDAY, NOVEMBER 19, 2016",USA,2016,2010–2016
CHURCH OF SCIENTOLOGY OPENS DOORS TO NEW IDEAL MISSION OF LAKE FOREST,"LAKE FOREST, CALIFORNIA","SUNDAY, OCTOBER 23, 2016",USA,2016,2010–2016
CHURCH OF SCIENTOLOGY CUTS A RIBBON ON NATIONAL AFFAIRS OFFICE IN THE EMERALD ISLE,"DUBLIN, IRELAND","SATURDAY, OCTOBER 15, 2016",IRELAND,2016,2010–2016
SCIENTOLOGY CROWNS RECORD GROWTH WITH ALL-NEW SPIRITUAL HEADQUARTERS FOR ASIA PACIFIC REGION,"SYDNEY, AUSTRALIA","SUNDAY, SEPTEMBER 4, 2016",AUSTRALIA,2016,2010–2016
A NEW ROSE BLOOMS: IDEAL ORG AND COMMUNITY CENTER OPENS IN HARLEM,"HARLEM, NEW YORK","SUNDAY, JULY 31, 2016",USA,2016,2010–2016
A SAGA OF FREEDOM CULMINATES IN IDEAL CHURCH COMING TO LIFE IN BUDAPEST,"BUDAPEST, HUNGARY","SATURDAY, JULY 23, 2016",HUNGARY,2016,2010–2016
CHURCH TRANSFORMS TWO CLEARWATER BUILDINGS INTO MAGNIFICENT CITY LANDMARKS,"CLEARWATER, FLORIDA","SATURDAY, JUNE 25, 2016",USA,2016,2010–2016
SCIENTOLOGY MEDIA PRODUCTIONS LAUNCHES IN HOLLYWOOD,"LOS ANGELES, CALIFORNIA","SATURDAY, MAY 28, 2016",USA,2016,2010–2016
ATLANTA’S SPIRIT OF FREEDOM SHINES BRIGHT AS GEORGIA’S FIRST IDEAL SCIENTOLOGY CHURCH OPENS,"ATLANTA, GEORGIA","SATURDAY, APRIL 2, 2016",USA,2016,2010–2016
CHURCH OF SCIENTOLOGY DEDICATES LANDMARK BUILDING AT SPIRITUAL HEADQUARTERS,"CLEARWATER, FLORIDA","SUNDAY, JUNE 29, 2014",USA,2014,2010–2016
NEW IDEAL ORG IN THE HEART OF AUSTRALIA’S HARBOR CITY,"SYDNEY, AUSTRALIA","SATURDAY, MAY 3, 2014",AUSTRALIA,2014,2010–2016
AN IDEAL ORG AT THE GATEWAY OF THE CHINESE-SPEAKING WORLD,"KAOHSIUNG, TAIWAN","SATURDAY, DECEMBER 7, 2013",TAIWAN,2013,2010–2016
